id,year,album,song,popularity,danceability,energy,speechiness,acousticness,liveness,valence,duration_ms,image,trackNum,track_number
1,1963,Please Please Me,I Saw Her Standing There,66,0.491,0.801,0.0361,0.27,0.0665,0.971,173947,pleasepleaseme.jpeg,14,1
2,1963,Please Please Me,Misery,49,0.591,0.605,0.0413,0.707,0.309,0.882,108547,pleasepleaseme.jpeg,14,2
3,1963,Please Please Me,Anna,55,0.608,0.565,0.0336,0.635,0.0601,0.835,177133,pleasepleaseme.jpeg,14,3
4,1963,Please Please Me,Chains,46,0.654,0.561,0.0304,0.608,0.129,0.929,145080,pleasepleaseme.jpeg,14,4
5,1963,Please Please Me,Boys,47,0.402,0.86,0.0504,0.607,0.736,0.822,146440,pleasepleaseme.jpeg,14,5
6,1963,Please Please Me,Ask Me Why,48,0.605,0.394,0.0378,0.767,0.0967,0.597,146533,pleasepleaseme.jpeg,14,6
7,1963,Please Please Me,Please Please Me,56,0.527,0.48,0.028,0.334,0.0702,0.706,120853,pleasepleaseme.jpeg,14,7
8,1963,Please Please Me,Love Me Do,66,0.52,0.829,0.0806,0.386,0.227,0.744,141693,pleasepleaseme.jpeg,14,8
9,1963,Please Please Me,P.S. I Love You,49,0.635,0.656,0.0291,0.389,0.0828,0.77,124360,pleasepleaseme.jpeg,14,9
10,1963,Please Please Me,Baby It's You,53,0.608,0.494,0.0345,0.778,0.0926,0.879,160520,pleasepleaseme.jpeg,14,10
11,1963,Please Please Me,Do You Want to Know a Secret,59,0.673,0.349,0.0368,0.608,0.38,0.609,117013,pleasepleaseme.jpeg,14,11
12,1963,Please Please Me,Taste of Honey,46,0.42,0.372,0.0327,0.698,0.104,0.412,123480,pleasepleaseme.jpeg,14,12
13,1963,Please Please Me,There's a Place,46,0.455,0.582,0.0292,0.629,0.172,0.927,110493,pleasepleaseme.jpeg,14,13
14,1963,Please Please Me,Twist and Shout,74,0.482,0.849,0.0452,0.641,0.0414,0.937,155227,pleasepleaseme.jpeg,14,14
84,1966,Revolver,taxman,58,0.469,0.596,0.0749,0.0101,0.321,0.783,158853,revolver.jpeg,14,1
85,1966,Revolver,eleanor rigby,68,0.581,0.28,0.0381,0.936,0.305,0.813,126533,revolver.jpeg,14,2
86,1966,Revolver,im only sleeping,58,0.494,0.47,0.0301,0.21,0.28,0.698,180320,revolver.jpeg,14,3
87,1966,Revolver,love you to,52,0.391,0.593,0.0413,0.7,0.0829,0.707,179827,revolver.jpeg,14,4
88,1966,Revolver,"here, there and everywhere",64,0.29,0.247,0.0383,0.921,0.0917,0.36,144880,revolver.jpeg,14,5
89,1966,Revolver,yellow submarine,59,0.604,0.549,0.0389,0.531,0.438,0.696,158880,revolver.jpeg,14,6
90,1966,Revolver,she said she said ,54,0.329,0.678,0.0344,0.103,0.843,0.672,156040,revolver.jpeg,14,7
91,1966,Revolver,good day sunshine,57,0.77,0.496,0.0468,0.719,0.123,0.571,129293,revolver.jpeg,14,8
92,1966,Revolver,and your bird can sing,56,0.555,0.65,0.0282,0.0067,0.236,0.966,120493,revolver.jpeg,14,9
93,1966,Revolver,for no one,63,0.483,0.351,0.0278,0.783,0.115,0.713,119813,revolver.jpeg,14,10
94,1966,Revolver,doctor robert,51,0.394,0.64,0.0488,0.164,0.153,0.574,134267,revolver.jpeg,14,11
95,1966,Revolver,I want to tell you,51,0.493,0.525,0.0315,0.182,0.148,0.449,147973,revolver.jpeg,14,12
96,1966,Revolver,got to get you into my life,58,0.521,0.524,0.0302,0.42,0.0838,0.711,149240,revolver.jpeg,14,13
97,1966,Revolver,tomorrow never knows,57,0.38,0.829,0.0405,0.000084,0.342,0.0534,179547,revolver.jpeg,14,14
70,1965,Rubber Soul,drive my car,64,0.754,0.571,0.0421,0.0173,0.3,0.82,148893,rubbersoul.jpeg,14,1
71,1965,Rubber Soul,norwegian wood,70,0.425,0.369,0.0379,0.183,0.112,0.65,124693,rubbersoul.jpeg,14,2
72,1965,Rubber Soul,you wont see me,54,0.488,0.539,0.0304,0.136,0.0538,0.473,199960,rubbersoul.jpeg,14,3
73,1965,Rubber Soul,nowhere man,62,0.534,0.624,0.0462,0.00797,0.128,0.687,163693,rubbersoul.jpeg,14,4
74,1965,Rubber Soul,think for yourself,52,0.529,0.567,0.0282,0.0124,0.0729,0.799,138520,rubbersoul.jpeg,14,5
75,1965,Rubber Soul,the word,50,0.59,0.641,0.0416,0.00682,0.0553,0.792,163107,rubbersoul.jpeg,14,6
76,1965,Rubber Soul,michelle,66,0.578,0.29,0.0341,0.652,0.105,0.666,162373,rubbersoul.jpeg,14,7
77,1965,Rubber Soul,what goes on,50,0.67,0.776,0.0749,0.0168,0.0732,0.765,168573,rubbersoul.jpeg,14,8
78,1965,Rubber Soul,girl,59,0.699,0.294,0.0294,0.587,0.117,0.893,151720,rubbersoul.jpeg,14,9
79,1965,Rubber Soul,im looking through you ,56,0.667,0.498,0.0364,0.00772,0.0481,0.774,146387,rubbersoul.jpeg,14,10
80,1965,Rubber Soul,in my life,73,0.688,0.435,0.0323,0.449,0.113,0.435,146333,rubbersoul.jpeg,14,11
81,1965,Rubber Soul,wait,51,0.552,0.487,0.04,0.0175,0.105,0.657,134720,rubbersoul.jpeg,14,12
82,1965,Rubber Soul,if I needed someone,52,0.492,0.755,0.0331,0.00748,0.102,0.796,142267,rubbersoul.jpeg,14,13
83,1965,Rubber Soul,run for your life,52,0.563,0.705,0.103,0.0103,0.0552,0.822,141093,rubbersoul.jpeg,14,14
98,1967,Sgt. Pepper's Lonely Hearts Club Band,sgt.peppers lonely hearts club band,60,0.451,0.673,0.0734,0.0857,0.797,0.583,122893,sgtpepper.jpeg,13,1
99,1967,Sgt. Pepper's Lonely Hearts Club Band,with a little help from my friends,64,0.705,0.515,0.0337,0.365,0.389,0.803,164107,sgtpepper.jpeg,13,2
100,1967,Sgt. Pepper's Lonely Hearts Club Band,lucy in the sky with diamonds,66,0.311,0.325,0.0283,0.0469,0.139,0.668,208467,sgtpepper.jpeg,13,3
101,1967,Sgt. Pepper's Lonely Hearts Club Band,getting better,52,0.632,0.471,0.0348,0.313,0.0712,0.764,168120,sgtpepper.jpeg,13,4
102,1967,Sgt. Pepper's Lonely Hearts Club Band,fixing a hole,52,0.469,0.507,0.0451,0.382,0.0783,0.619,156827,sgtpepper.jpeg,13,5
103,1967,Sgt. Pepper's Lonely Hearts Club Band,shes leaving home,57,0.381,0.214,0.0337,0.944,0.106,0.393,215160,sgtpepper.jpeg,13,6
104,1967,Sgt. Pepper's Lonely Hearts Club Band,being for the benefit of mr.kite!,50,0.526,0.413,0.0446,0.338,0.0992,0.71,157533,sgtpepper.jpeg,13,7
105,1967,Sgt. Pepper's Lonely Hearts Club Band,within you without you,52,0.352,0.479,0.0338,0.339,0.486,0.354,304667,sgtpepper.jpeg,13,8
106,1967,Sgt. Pepper's Lonely Hearts Club Band,when im sixty four,63,0.704,0.241,0.0476,0.625,0.0868,0.661,157667,sgtpepper.jpeg,13,9
107,1967,Sgt. Pepper's Lonely Hearts Club Band,lovely rita,52,0.61,0.471,0.0261,0.0634,0.118,0.63,162093,sgtpepper.jpeg,13,10
108,1967,Sgt. Pepper's Lonely Hearts Club Band,good morning good mornng,48,0.542,0.618,0.139,0.0858,0.772,0.93,161227,sgtpepper.jpeg,13,11
109,1967,Sgt. Pepper's Lonely Hearts Club Band,sgt. Peppers lonely hearts club band,49,0.653,0.889,0.0453,0.0061,0.892,0.879,79067,sgtpepper.jpeg,13,12
110,1967,Sgt. Pepper's Lonely Hearts Club Band,a day in the life,62,0.364,0.457,0.0675,0.29,0.922,0.175,337413,sgtpepper.jpeg,13,13
122,1968,The Beatles (white album),back in the ussr,64,0.48,0.969,0.0854,0.069,0.0608,0.494,163453,whitealbum.jpeg,30,1
123,1968,The Beatles (white album),dear prudence ,57,0.388,0.529,0.0436,0.16,0.108,0.332,235773,whitealbum.jpeg,30,2
124,1968,The Beatles (white album),glass onion,53,0.523,0.51,0.0514,0.0123,0.108,0.789,137840,whitealbum.jpeg,30,3
125,1968,The Beatles (white album),"obi-la -di, ob-la-da",69,0.818,0.728,0.0314,0.232,0.251,0.975,188960,whitealbum.jpeg,30,4
126,1968,The Beatles (white album),wild honey pie,48,0.792,0.763,0.0506,0.425,0.789,0.152,52973,whitealbum.jpeg,30,5
127,1968,The Beatles (white album),the continue story of bungalow bill,50,0.621,0.459,0.104,0.224,0.656,0.648,194160,whitealbum.jpeg,30,6
128,1968,The Beatles (white album),while my guitar gently weeps,69,0.453,0.654,0.0317,0.0205,0.172,0.702,285000,whitealbum.jpeg,30,7
129,1968,The Beatles (white album),happiness is a warm gem,57,0.431,0.54,0.0589,0.523,0.169,0.44,164547,whitealbum.jpeg,30,8
130,1968,The Beatles (white album),martha my dear,53,0.472,0.292,0.0321,0.872,0.128,0.824,148573,whitealbum.jpeg,30,9
131,1968,The Beatles (white album),im so tired,54,0.433,0.483,0.175,0.656,0.539,0.717,123493,whitealbum.jpeg,30,10
132,1968,The Beatles (white album),blackbird,73,0.686,0.127,0.0342,0.754,0.0573,0.372,138387,whitealbum.jpeg,30,11
133,1968,The Beatles (white album),piggies,48,0.542,0.445,0.0303,0.643,0.516,0.52,124267,whitealbum.jpeg,30,12
134,1968,The Beatles (white album),rocky raccoon,56,0.599,0.363,0.0315,0.333,0.243,0.648,213107,whitealbum.jpeg,30,13
135,1968,The Beatles (white album),don’t pass me by,49,0.599,0.537,0.0254,0.594,0.194,0.946,230453,whitealbum.jpeg,30,14
136,1968,The Beatles (white album),why don’t we do it in the road?,48,0.589,0.522,0.0521,0.53,0.0993,0.957,101160,whitealbum.jpeg,30,15
137,1968,The Beatles (white album),I will,63,0.631,0.387,0.0262,0.742,0.0822,0.832,105933,whitealbum.jpeg,30,16
138,1968,The Beatles (white album),julia,53,0.512,0.0953,0.0304,0.828,0.117,0.193,176667,whitealbum.jpeg,30,17
139,1968,The Beatles (white album),birthday,53,0.541,0.727,0.0384,0.0000737,0.232,0.91,163080,whitealbum.jpeg,30,1
140,1968,The Beatles (white album),yer blue,50,0.327,0.525,0.0475,0.000875,0.133,0.435,240453,whitealbum.jpeg,30,2
141,1968,The Beatles (white album),mother natures son,51,0.608,0.178,0.0264,0.634,0.166,0.401,168027,whitealbum.jpeg,30,3
142,1968,The Beatles (white album),everybodys got something to hide even you,48,0.523,0.731,0.0559,0.0207,0.081,0.81,144773,whitealbum.jpeg,30,4
143,1968,The Beatles (white album),sexy sadie ,50,0.577,0.624,0.0285,0.33,0.117,0.671,195267,whitealbum.jpeg,30,5
144,1968,The Beatles (white album),helter skelter,60,0.166,0.831,0.0894,0.000606,0.811,0.281,269787,whitealbum.jpeg,30,6
145,1968,The Beatles (white album),"long, long. Long",48,0.349,0.129,0.0294,0.539,0.192,0.163,186307,whitealbum.jpeg,30,7
146,1968,The Beatles (white album),revolution 1,49,0.386,0.626,0.0377,0.0785,0.621,0.695,255707,whitealbum.jpeg,30,8
147,1968,The Beatles (white album),honey pie,49,0.537,0.297,0.0822,0.88,0.145,0.553,161160,whitealbum.jpeg,30,9
148,1968,The Beatles (white album),savoy truffle,46,0.623,0.544,0.0536,0.00814,0.134,0.793,174467,whitealbum.jpeg,30,10
149,1968,The Beatles (white album),cry baby cry,48,0.517,0.529,0.0323,0.115,0.174,0.362,182080,whitealbum.jpeg,30,11
150,1968,The Beatles (white album),revolution 9,44,0.208,0.615,0.342,0.769,0.824,0.101,502013,whitealbum.jpeg,30,12
151,1968,The Beatles (white album),good night,47,0.146,0.355,0.0352,0.865,0.114,0.178,193760,whitealbum.jpeg,30,13
15,1963,With The Beatles,It Wont Be Long,50,0.472,0.673,0.0318,0.284,0.206,0.862,133387,withthebeatles.jpeg,14,1
16,1963,With The Beatles,All I've Got To Do,52,0.49,0.579,0.0344,0.217,0.0644,0.879,122573,withthebeatles.jpeg,14,2
17,1963,With The Beatles,All My Loving,67,0.416,0.563,0.0298,0.207,0.343,0.9,127853,withthebeatles.jpeg,14,3
18,1963,With The Beatles,Don’t Bother Me,49,0.371,0.724,0.0562,0.554,0.299,0.916,148253,withthebeatles.jpeg,14,4
19,1963,With The Beatles,Little Child,42,0.526,0.858,0.0476,0.292,0.353,0.886,106400,withthebeatles.jpeg,14,5
20,1963,With The Beatles,Till There Was You,61,0.727,0.338,0.0454,0.79,0.105,0.646,133507,withthebeatles.jpeg,14,6
21,1963,With The Beatles,Please Mister Postman,54,0.552,0.644,0.0372,0.675,0.36,0.961,154160,withthebeatles.jpeg,14,7
22,1963,With The Beatles,Roll Over Beethoven,53,0.351,0.749,0.0312,0.289,0.0952,0.967,165467,withthebeatles.jpeg,14,8
23,1963,With The Beatles,Hold Me Tight,46,0.54,0.744,0.0312,0.664,0.21,0.963,151907,withthebeatles.jpeg,14,9
24,1963,With The Beatles,You Really Got A Hold On Me,51,0.373,0.388,0.0337,0.525,0.267,0.687,181347,withthebeatles.jpeg,14,10
25,1963,With The Beatles,I Wanna Be Your Man,45,0.553,0.914,0.0415,0.477,0.292,0.683,119507,withthebeatles.jpeg,14,11
26,1963,With The Beatles,Devil In Her Heart,46,0.618,0.622,0.0296,0.227,0.0438,0.966,146213,withthebeatles.jpeg,14,12
27,1963,With The Beatles,Not A Second Time,44,0.471,0.817,0.0372,0.213,0.498,0.961,126827,withthebeatles.jpeg,14,13
28,1963,With The Beatles,Money(That’s What I Want),46,0.545,0.853,0.0394,0.425,0.266,0.923,169507,withthebeatles.jpeg,14,14
152,1969,Yellow Submarine,yellow submarine,46,0.605,0.536,0.0421,0.518,0.528,0.688,159720,yellowsubmarine.jpeg,12,1
153,1969,Yellow Submarine,only a northern song,39,0.175,0.731,0.0705,0.000341,0.0846,0.801,204493,yellowsubmarine.jpeg,12,2
154,1969,Yellow Submarine,all together now,42,0.587,0.431,0.0686,0.0722,0.561,0.778,130893,yellowsubmarine.jpeg,12,3
155,1969,Yellow Submarine,hey bulldog,51,0.587,0.617,0.028,0.0197,0.199,0.947,191307,yellowsubmarine.jpeg,12,4
156,1969,Yellow Submarine,its all too much ,40,0.39,0.781,0.0364,0.000043,0.1,0.199,385013,yellowsubmarine.jpeg,12,5
157,1969,Yellow Submarine,all you need is love,40,0.4,0.463,0.0288,0.345,0.286,0.627,231213,yellowsubmarine.jpeg,12,6
158,1969,Yellow Submarine,pepperland,43,0.354,0.281,0.032,0.661,0.243,0.367,140733,yellowsubmarine.jpeg,12,7
159,1969,Yellow Submarine,sea of time ,35,0.237,0.096,0.0387,0.971,0.203,0.0629,180213,yellowsubmarine.jpeg,12,8
160,1969,Yellow Submarine,sea of holes,34,0.249,0.0994,0.04,0.959,0.454,0.0357,136693,yellowsubmarine.jpeg,12,9
161,1969,Yellow Submarine,sea of monsters,31,0.253,0.166,0.0346,0.945,0.135,0.0489,216693,yellowsubmarine.jpeg,12,10
162,1969,Yellow Submarine,march of the meanies,33,0.538,0.378,0.0387,0.934,0.456,0.16,139360,yellowsubmarine.jpeg,12,11
163,1969,Yellow Submarine,pepperland laid waste,31,0.269,0.0902,0.042,0.877,0.302,0.0462,132773,yellowsubmarine.jpeg,12,12
164,1969,Yellow Submarine,yellow submarine in pepperland,43,0.406,0.219,0.0359,0.808,0.15,0.271,134027,yellowsubmarine.jpeg,12,13
